B1;B4;B7;B10;B13;B16;B19;B22;B25;B28;B31
;Bryozoan;Tabulate Coral;Micrite;Tabulate Coral;Micrite;;Stromatoporoid;?;Echinoderm;Bryozoan
;Micrite;Micrite;Tabulate Coral;Bryozoan;Micrite;;Stromatoporoid;;Microbe;Brachiopod
;Crinoid;;Tabulate Coral;Bryozoan;Micrite;;Stromatoporoid;;Microbe;Stromatoporoid
;Crinoid;;Micrite;Crinoid;Micrite;;Micrite;;Microbe;Stromatoporoid
Micrite;Sparite;;;Bryozoan;Micrite;;Micrite;;Microbe;Bryozoan
Micrite;Gastropod;;;Sparite;Micrite;;Micrite;;Microbe;Bryozoan
Micrite;Sparite;;;Micrite;Micrite;;Micrite;;Bryozoan;Stromatoporoid
Micrite;Brachiopod;;;Crinoid;Micrite;;Micrite;;Bryozoan;
Tabulate Coral;Bryozoan;;;Micrite;;;Micrite;;Bryozoan;
Tabulate Coral;Brachiopod;;;Crinoid;;;Micrite;;Microbe;
Mollusc;Sparite;;;Crinoid;;;Micrite;;Microbe;
Mollusc;;;;Micrite;;;Micrite;;Microbe;
Micrite;;;;Crinoid;;;Micrite;;Microbe;
Micrite;;;;Sparite;;;Micrite;;Microbe;
Tabulate Coral;;;;Micrite;;;Micrite;;;
Micrite;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Crinoid;;;;;;;;;
;Crinoid;Sparite;Micrite;;;;;;;
;Sparite;Brachiopod;?;Bryozoan;;;Stromatoporoid;Microbe;;
;?;Sparite;Sparite;Crinoid;Microbe ;;Stromatoporoid;Microbe;;
;Bryozoan;Crinoid;Bryozoan;Micrite;Micrite;Crinoid;Stromatoporoid;Microbe;;Crinoid
;?;Crinoid;Micrite;Crinoid;Micrite;Bryozoan;Stromatoporoid;Microbe;;?
;Sparite;Sparite;Sparite;Micrite;Micrite;Microbe;Stromatoporoid;Bryozoan;;Crinoid
;?;Allonema;Sparite;Micrite;Brachiopod;Bryozoan;Stromatoporoid;Bryozoan;;Brachiopod
;Echinoderm;Sparite;?;Micrite;Bryozoan;Bryozoan;Stromatoporoid;Microbe;;?
;Micrite;Bryozoan;Bryozoan;Micrite;Micrite;Micrite;Stromatoporoid;Microbe;;Crinoid
;Micrite;Micrite;Bryozoan;Crinoid;Bryozoan;Tabulate Coral;Stromatoporoid;?;;Crinoid
;Micrite;Crinoid;Sparite;Micrite;Micrite;Microbe;Stromatoporoid;?;;Crinoid
;Micrite;Sparite;Sparite;Sparite;Tabulate Coral_Oncoid;Micrite;Stromatoporoid;Microbe;;Bryozoan
;Sparite;Sparite;Brachiopod;Micrite;Tabulate Coral_Oncoid;Microbe;Stromatoporoid;Microbe;;Crinoid
;Micrite;Sparite;Sparite;Brachiopod;Tabulate Coral_Oncoid;;Stromatoporoid;?;;Micrite
;Sparite;?;Brachiopod;Micrite;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;Stromatoporoid
;Tabulate Coral;Bryozoan;?;Micrite;Tabulate Coral_Oncoid;;Stromatoporoid;Micrite;Microbe;Micrite
;Crinoid;Echinoderm;Micrite;Micrite;Micrite;;Stromatoporoid;;Microbe;Stromatoporoid
;Sparite;Micrite;Tabulate Coral;Crinoid;?;;Stromatoporoid;;Microbe;Stromatoporoid
;Crinoid;Bryozoan;Tabulate Coral;Micrite;Micrite;;Stromatoporoid;;Bryozoan;Stromatoporoid
Micrite;?;Micrite;Micrite;Crinoid;Micrite;;Stromatoporoid;;Rothpletzella;Stromatoporoid
Micrite;Sparite;Crinoid;;Crinoid;Micrite;;Stromatoporoid;;Microbe;Stromatoporoid
Micrite;Brachiopod;Micrite;;Micrite;Micrite;;Stromatoporoid;;Microbe;Stromatoporoid
Micrite;Brachiopod;Sparite;;Crinoid;Micrite;;Micrite;;Microbe;Stromatoporoid
Tabulate Coral;Micrite;Bryozoan;;Tabulate Coral;Micrite;;Micrite;;Microbe;Stromatoporoid
Tabulate Coral;Sparite;;;Micrite;;;Micrite;;Microbe;
Micrite;;;;?;;;Micrite;;Microbe;
Micrite;;;;Micrite;;;Micrite;;Microbe;
Micrite;;;;Bryozoan;;;Stromatoporoid;;Microbe;
Micrite;;;;Micrite;;;Stromatoporoid;;Microbe;
Trilobite;;;;Micrite;;;Stromatoporoid;;Microbe;
Micrite;;;;;;;;;;
Micrite;;;;Bryozoan;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Crinoid;;;;;;;;;
;?;Sparite;;;;;Stromatoporoid;;;
;Tabulate Coral;Micrite;Microbe;Tabulate Coral;;;Stromatoporoid;Microbe;;
;Mollusc;Brachiopod;Sparite;Micrite;Microbe;;Stromatoporoid;Microbe;;
;Sparite;Micrite;Sparite;Micrite;Microbe;Crinoid;Stromatoporoid;Bryozoan;;Tabulate Coral
;Brachiopod;Tabulate Coral;?;Micrite;Micrite;Crinoid;Stromatoporoid;Microbe;;Micrite
;Bryozoan;Micrite;Bryozoan;Crinoid;?;Bryozoan;Stromatoporoid;Microbe;;Micrite
;Bryozoan;Sparite;?;Micrite;Brachiopod;Micrite;Stromatoporoid;Bryozoan;;Micrite
;Micrite;Microbe_Oncoid;Sparite;Micrite;Tabulate Coral;Bryozoan;Stromatoporoid;Bryozoan;;Micrite
;Micrite;Sparite;Echinoderm;Micrite;Microbe;Microbe;Stromatoporoid;Microbe;;?
;Micrite;Sparite;Microbe;Micrite;Crinoid_Oncoid;Microbe;Stromatoporoid;Microbe;;?
;Brachiopod;Micrite;Crinoid;Micrite;Micrite;Brachiopod;Stromatoporoid;Echinoderm;;Crinoid
;Micrite;?;Brachiopod;Crinoid;Tabulate Coral_Oncoid;Micrite;Stromatoporoid;Micrite;;Bryozoan
;Brachiopod;Echinoderm;Sparite;Echinoderm;Tabulate Coral_Oncoid;Echinoderm;Stromatoporoid;Microbe;;Micrite
;Micrite;Micrite;?;Micrite;Tabulate Coral_Oncoid;Micrite;Stromatoporoid;Microbe;Microbe;Stromatoporoid
