B1;B4;B7;B10;B13;B16;B19;B22;B25;B28;B31
;;Bryozoan;;;Bryozoan;Microbe;Tabulate Coral;Microbe;Allonema;Stromatoporoid
;;Sparite;Crinoid;;Bryozoan;Microbe;Microbe;Microbe;Allonema;Stromatoporoid
;;Bryozoan;Crinoid;;Microbe;Microbe;Micrite;Microbe;Allonema;Stromatoporoid
Micrite;;Bryozoan;Tabulate Coral;;Microbe;Bryozoan;Microbe;Microbe;Allonema;Stromatoporoid
Tabulate Coral;;Sparite;Tabulate Coral;;Microbe;Sparite;Tabulate Coral;Microbe;Allonema;Stromatoporoid
Brachiopod;;Micrite;?;;Tabulate Coral_Oncoid;Bryozoan;Tabulate Coral;Microbe;Allonema;Stromatoporoid
Micrite;;Brachiopod;Micrite;;Microbe;Micrite;Microbe;Microbe;Microbe;Stromatoporoid
Sparite;;Micrite;Microbe_Oncoid;Bryozoan;Microbe;?;Microbe;Microbe;Microbe;Stromatoporoid
Mollusc;;Micrite;Allonema_Oncoid;Bryozoan;Microbe;Brachiopod;Crinoid;Microbe;Microbe;Sparite
Micrite;;Sparite;Allonema_Oncoid;Brachiopod;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;;Sparite;Sparite;Crinoid;Microbe;;Microbe;Microbe;Bryozoan;Stromatoporoid
Micrite;;Sparite;Sparite;Crinoid;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
Sparite;;Sparite;Sparite;Crinoid;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
Brachiopod;;Sparite;Micrite;Tabulate Coral;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
Sparite;;Micrite;Micrite;;Bryozoan;;Microbe;Microbe;Microbe;Stromatoporoid
Echinoderm;;Sparite;Micrite;;Bryozoan;;Microbe;Microbe;Microbe;Stromatoporoid
?;;;;;Micrite;;Microbe;Pentameride Brachiopod;Microbe;Stromatoporoid
Sparite;;;;;Tabulate Coral_Oncoid;;Tabulate Coral;Microbe;Microbe;Stromatoporoid
Micrite;;;;;;;;Microbe;Microbe;Micrite
Micrite;;;;;;;;Microbe;Microbe;
Micrite;;;;;;;;Sparite;Microbe;
Micrite;;;;;;;;;Microbe;
Echinoderm;;;;;;;;;Microbe;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Micrite;;;;;;;Microbe;
;;Micrite;;;;;;Microbe;Bryozoan;
;;Sparite;;;;;;Microbe;Bryozoan;Sparite
;;Micrite;;;;;;Bryozoan;Microbe;Stromatoporoid
;;Echinoderm;;;;;;Microbe;Bryozoan;Sparite
;;Bryozoan;;;;;;Microbe;Microbe;Sparite
;;Bryozoan;;;;;;Microbe;Microbe;Sparite
Micrite;;Sparite;;;Bryozoan;Sparite;;Microbe;Microbe;Sparite
Micrite;;Sparite;;;Bryozoan;Microbe;;Microbe;Microbe;Sparite
Sparite;;Crinoid;;;Bryozoan;Brachiopod;Tabulate Coral;Bryozoan;Microbe;Sparite
Micrite;;Micrite;;;Bryozoan;Microbe;Tabulate Coral;Bryozoan;Microbe;Sparite
Brachiopod;;Micrite;;;Microbe;Bryozoan;Tabulate Coral;Microbe;Allonema;Sparite
Micrite;;Echinoderm;?;;Microbe;Microbe;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;;Echinoderm;Tabulate Coral;;Microbe;Tabulate Coral;Microbe;Microbe;Allonema;Stromatoporoid
Bryozoan;;Micrite;Tabulate Coral;;Microbe;Microbe;Tabulate Coral;Microbe;Microbe;Stromatoporoid
Micrite;;Micrite;Micrite;;Microbe;Microbe;Tabulate Coral;Microbe;Microbe;Stromatoporoid
Micrite;;Sparite;Micrite;;Microbe;Sparite;Crinoid;Microbe;Allonema;Stromatoporoid
Micrite;;Stromatoporoid;Sparite;;Microbe;Microbe;Microbe;Microbe;Microbe;Stromatoporoid
Sparite;;Sparite;Sparite;;Microbe;Brachiopod;Microbe;Microbe;Microbe;Stromatoporoid
Sparite;;Crinoid;Sparite;;Microbe;Micrite;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;;Sparite;Sparite;;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;;Sparite;Sparite;;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;;Bryozoan;Sparite;;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
?;;Bryozoan;Micrite;;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;;Sparite;Micrite;;Microbe;;Microbe;Mollusc;Bryozoan;Stromatoporoid
Micrite;;Sparite;Crinoid;;Micrite;;;Pentameride Brachiopod;Microbe;Sparite
Micrite;;;;;Bryozoan;;;Pentameride Brachiopod;Microbe;Sparite
Micrite;;;;;;;;Microbe;Microbe;Micrite
Micrite;;;;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Microbe;
;;;;;;;;;Microbe;
;;;;;;;;;Bryozoan;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Sparite;;;;;;;Microbe;
;;Micrite;;;;;;Bryozoan;Bryozoan;
;;Micrite;;;;;;Bryozoan;Bryozoan;Stromatoporoid
;;Brachiopod;;;;;;Bryozoan;Microbe;Stromatoporoid
;;Bryozoan;;;;;;Microbe;Bryozoan;Stromatoporoid
;;Micrite;;;;;;Sparite;Microbe;Sparite
Trilobite;;Sparite;;;;;;Microbe;Microbe;Sparite
Micrite;;Sparite;;;Microbe;Microbe;;Microbe;Bryozoan;Sparite
Sparite;;?;;;Microbe;Microbe;Tabulate Coral;Microbe;Microbe;Sparite
Sparite;;Echinoderm;;;Microbe;Brachiopod;Tabulate Coral;Microbe;Bryozoan;Sparite
Micrite;;Sparite;;;Microbe;Microbe;Tabulate Coral;Microbe;Microbe;Sparite
Brachiopod;;Mollusc;;;Microbe;Brachiopod;Tabulate Coral;Microbe;Microbe;Sparite
Sparite;;?;Crinoid;;Microbe;Brachiopod;?;Microbe;Microbe;Sparite
Sparite;;Echinoderm;Tabulate Coral;;Microbe;Tabulate Coral;Micrite;Microbe;Microbe;Stromatoporoid
Micrite;;?;?;;Microbe;Microbe;Tabulate Coral;Microbe;Microbe;Stromatoporoid
Micrite;;Bryozoan;Tabulate Coral;;Microbe;Microbe;Micrite;Microbe;Microbe;Stromatoporoid
Sparite;;Stromatoporoid;Sparite;;Microbe;Crinoid;Microbe;Microbe;Microbe;Stromatoporoid
Mollusc;;Stromatoporoid;?;;Microbe;Microbe;Microbe;Microbe;Bryozoan;Stromatoporoid
Micrite;;Bryozoan;Sparite;;Microbe;Brachiopod;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;;Crinoid;Micrite;;Microbe;Micrite;Microbe;Microbe;Microbe;Stromatoporoid
Rostroconch;;Crinoid;Sparite;;Microbe;Micrite;Bryozoan;Microbe;Bryozoan;Stromatoporoid
Echinoderm;;Sparite;Micrite;;Microbe;;Microbe;Microbe;Microbe;Stromatoporoid
Sparite;;Allonema;Sparite;;Microbe;;;Microbe;Echinoderm;Stromatoporoid
Sparite;;Allonema;Sparite;;;;;Microbe;Bryozoan;Stromatoporoid
Sparite;;Bryozoan;Micrite;;;;;Microbe;Microbe;Stromatoporoid
Micrite;;;Sparite;;;;;Microbe;Microbe;Stromatoporoid
Micrite;;;Ostracod;;;;;Microbe;Bryozoan;Micrite
Micrite;;;;;;;;Pentameride Brachiopod;Bryozoan;
;;;;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Bryozoan;
;;;;;;;;;Microbe;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Micrite;;;;;;;Microbe;
;;Trilobite;;;;;;;Microbe;
;;Sparite;;;;;;Bryozoan;Microbe;Stromatoporoid
;;Bryozoan;;;;;;Bryozoan;Bryozoan;Stromatoporoid
Micrite;;Sparite;;;;;;Bryozoan;Bryozoan;Stromatoporoid
Sparite;;Sparite;;;;;;Microbe;Microbe;Stromatoporoid
?;;Micrite;;;;;;Microbe;Sparite;Sparite
Crinoid;;Micrite;;;;;;Microbe;Microbe;Sparite
Micrite;;Micrite;;;Microbe;Microbe;Tabulate Coral;Microbe;Bryozoan;Sparite
Micrite;;Crinoid;;;Microbe;Sparite;Tabulate Coral;Microbe;Sparite;Sparite
Trilobite;;?;;;Microbe;Micrite;Tabulate Coral;Microbe;Microbe;Sparite
Micrite;;Tabulate Coral;;;Microbe;Brachiopod;Tabulate Coral;Microbe;Microbe;Sparite
Microbe_Oncoid;;Sparite;;;Microbe;Brachiopod;;Microbe;Microbe;Sparite
Brachiopod_Oncoid;;Sparite;;;Microbe;Microbe;;Microbe;Microbe;Sparite
Trilobite;;Sparite;?;;Microbe;Microbe;;Microbe;Microbe;Stromatoporoid
Bryozoan;;Bryozoan;Sparite;;Microbe;?;;Microbe;Microbe;Stromatoporoid
Trilobite;;Bryozoan;Echinoderm;;Sparite;Bryozoan;Crinoid;Microbe;Microbe;Stromatoporoid
Micrite;;Sparite;Sparite;;Microbe;Bryozoan;Microbe;Microbe;Microbe;Stromatoporoid
Sparite;;Sparite;Micrite;;Microbe;Micrite;Microbe;Microbe;Brachiopod;Stromatoporoid
Crinoid;;Crinoid;Brachiopod;;Microbe;Micrite;;Microbe;Brachiopod;Stromatoporoid
Sparite;;Sparite;Echinoderm;;Microbe;?;;Microbe;Microbe;Stromatoporoid
Micrite;;Sparite;Micrite;;Microbe;Micrite;;Microbe;Sparite;Stromatoporoid
Bryozoan;;Sparite;Sparite;;;;;Microbe;Bryozoan;Stromatoporoid
Echinoderm;;Crinoid;Sparite;;;;;Microbe;Bryozoan;Stromatoporoid
Micrite;;Crinoid;?;;;;;Microbe;Bryozoan;Stromatoporoid
Micrite;;;Echinoderm;;;;;Microbe;Microbe;Stromatoporoid
;;;Sparite;;;;;Pentameride Brachiopod;Microbe;
;;;Crinoid;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Microbe;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Microbe;
;;Tabulate Coral;;;;;;;Bryozoan;
;;Sparite;;;;;;;Bryozoan;
;;Micrite;;;;;;Microbe;Bryozoan;Stromatoporoid
;;Crinoid;;;;;;Bryozoan;Microbe;Stromatoporoid
?;;Crinoid;;;;;;Microbe;Bryozoan;Stromatoporoid
Tabulate Coral;;Crinoid;;;;;;Microbe;Bryozoan;Stromatoporoid
Echinoderm;;Micrite;;;;;;Microbe;Microbe;Stromatoporoid
Sparite;;Micrite;;;;;;Microbe;Microbe;Stromatoporoid
Sparite;;Crinoid;;;;Microbe;;Microbe;Microbe;Stromatoporoid
Micrite;;Crinoid;;;Microbe;Microbe;Micrite;Microbe;Bryozoan;Stromatoporoid
Brachiopod_Oncoid;;Micrite;;;Microbe;Microbe;;Microbe;Microbe;Micrite
?;;Sparite;;;Microbe;Microbe;;Microbe;Microbe;Micrite
Sparite;;Micrite;;;Microbe;Microbe;;Bryozoan;Bryozoan;Micrite
Micrite;;Bryozoan;;;Microbe;Microbe;;Microbe;Microbe;Micrite
Echinoderm;;Bryozoan;;;Microbe;Bryozoan;;Microbe;Microbe;Stromatoporoid
Sparite;;Sparite;Micrite;;Microbe;Microbe;;Microbe;Microbe;Stromatoporoid
Micrite;;Sparite;Bryozoan;;Bryozoan;Sparite;;Microbe;Microbe;Stromatoporoid
Sparite;;Sparite;Sparite;;Microbe;Micrite;;Microbe;Microbe;Stromatoporoid
Sparite;;Crinoid;Echinoderm;;Microbe;Crinoid;;Microbe;Microbe;Stromatoporoid
Micrite;;Tabulate Coral;?;;Microbe;Bryozoan;;Microbe;Brachiopod;Stromatoporoid
Sparite;;Sparite;Micrite;;Microbe;Micrite;;Microbe;Crinoid;Stromatoporoid
Micrite;;Sparite;Ostracod;;;Micrite;;Microbe;Bryozoan;Stromatoporoid
Micrite;;Sparite;Crinoid;;;;;Ostracod;Bryozoan;Stromatoporoid
Brachiopod;;Tabulate Coral;Micrite;;;;;Microbe;Bryozoan;Microbe
Micrite;;Crinoid;Sparite;;;;;Pentameride Brachiopod;Microbe;Stromatoporoid
;;?;Micrite;;;;;Microbe;Microbe;Stromatoporoid
;;;Tabulate Coral_Oncoid;;;;;Echinoderm;Microbe;
;;;Micrite;;;;;Microbe;Bryozoan;
;;;Crinoid_Oncoid;;;;;Microbe;Bryozoan;
;;;;;;;;Microbe;Bryozoan;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Microbe;
;;Sparite;;;;;;;Bryozoan;
;;Echinoderm;;;;;;;Bryozoan;
;;Echinoderm;;;;;;Microbe;Microbe;Stromatoporoid
;;Echinoderm;;;;;;Bryozoan;Sparite;Stromatoporoid
Sparite;;Echinoderm;;;;;;Microbe;Bryozoan;Stromatoporoid
Micrite;;Micrite;;;;;;Microbe;Bryozoan;Stromatoporoid
Echinoderm;;Mollusc;;;;;;Microbe;Microbe;Stromatoporoid
Sparite;;Mollusc;;;;;;Microbe;Micrite;Stromatoporoid
Brachiopod_Oncoid;;Mollusc;;;;;;Bryozoan;Sparite;Stromatoporoid
Micrite;;?;;;;Brachiopod;;Bryozoan;Microbe;Stromatoporoid
Micrite;;Bryozoan;;;Microbe;Micrite;;Microbe;Microbe;Stromatoporoid
Micrite;;Bryozoan;;;Microbe;Micrite;;Microbe;Microbe;Stromatoporoid
Micrite;;Tabulate Coral;;;Microbe;Micrite;;Microbe;Sparite;Stromatoporoid
Brachiopod;;Sparite;;;Microbe;Microbe;;Microbe;Bryozoan;Stromatoporoid
Micrite;;Sparite;;;Microbe;Microbe;;Allonema;Microbe;Stromatoporoid
Micrite;;Crinoid;Sparite;;Microbe;Microbe;;Microbe;Microbe;Stromatoporoid
Crinoid;;Sparite;?;;Bryozoan;Bryozoan;;Microbe;Microbe;Stromatoporoid
Echinoderm;;Micrite;Bryozoan;;Microbe;Microbe;;Microbe;Microbe;Stromatoporoid
Micrite;;?;Crinoid;;Microbe;Sparite;;Microbe;Microbe;Stromatoporoid
Micrite;;Brachiopod;Echinoderm;;;Brachiopod;;Microbe;Microbe;Stromatoporoid
Sparite;;Sparite;Micrite;;;Micrite;;Microbe;Microbe;Stromatoporoid
Micrite;;Sparite;Micrite;;;Micrite;;Microbe;Microbe;Rothpletzella
Echinoderm;;Brachiopod;Sparite;;;;;Microbe;Microbe;
Micrite;;Brachiopod;Sparite;;;;;Microbe;Microbe;
;;Crinoid;Bryozoan;;;;;Sparite;Bryozoan;
;;;Micrite;;;;;Microbe;Bryozoan;
;;;Micrite;;;;;Microbe;Brachiopod;
;;;Micrite;;;;;Microbe;Microbe;
;;;Crinoid_Oncoid;;;;;Microbe;Microbe;
;;;;;;;;Microbe;Bryozoan;
;;;;;;;;;Bryozoan;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Microbe;
;;Tabulate Coral;;;;;;;Bryozoan;
;;Sparite;;;;;;Microbe;Microbe;Stromatoporoid
;;Sparite;;;;;;Microbe;Microbe;Stromatoporoid
Micrite;;Micrite;;;;;;Microbe;Microbe;Microbe
Sparite;;Mollusc;;;;;;Microbe;Sparite;Brachiopod
Micrite;;Mollusc;;;;;;Microbe;Microbe;Microbe
Crinoid;;Mollusc;;;;;;Microbe;Microbe;Microbe
Green Algae;;Mollusc;;;;;;Bryozoan;Microbe;Stromatoporoid
Mollusc;;Micrite;;;;?;;Bryozoan;Microbe;Stromatoporoid
Mollusc;;Echinoderm;;;;Micrite;;Microbe;Bryozoan;Stromatoporoid
Sparite;;Micrite;;;Microbe;Micrite;;Microbe;Microbe;Stromatoporoid
Micrite;;Micrite;;;Microbe;Microbe;;Microbe;Bryozoan;Stromatoporoid
Sparite;;Micrite;;;Microbe;Microbe;;Allonema;Microbe;Stromatoporoid
Micrite;;Sparite;;;Microbe;Microbe;;Allonema;Microbe;Stromatoporoid
Micrite;;Sparite;;;Microbe;Microbe;;Microbe;Microbe;Stromatoporoid
Bryozoan;;Micrite;Crinoid;;Microbe;Microbe;;Microbe;Microbe;Stromatoporoid
Crinoid;;Echinoderm;Crinoid;;Bryozoan;Microbe;;Microbe;Microbe;Stromatoporoid
Sparite;;Sparite;Tabulate Coral;;Bryozoan;Microbe;;Microbe;Bryozoan;Stromatoporoid
Micrite;;Echinoderm;Micrite;;;Micrite;;Microbe;Bryozoan;Microbe
Trilobite;;Sparite;Micrite;;;Micrite;;Microbe;Microbe;
Micrite;;?;?;;;;;Microbe;Microbe;
Micrite;;Micrite;Tabulate Coral;;;;;Microbe;Microbe;
;;Micrite;Sparite;;;;;Microbe;Bryozoan;
;;Crinoid;Sparite;;;;;Microbe;Bryozoan;
;;;Sparite;;;;;Microbe;Microbe;
;;;Tabulate Coral;;;;;Microbe;Microbe;
;;;Crinoid_Oncoid;;;;;Microbe;Rothpletzella;
;;;Sparite;;;;;Microbe;Bryozoan;
;;;Micrite;;;;;Microbe;Microbe;
;;;Micrite;;;;;;Bryozoan;
;;;;;;;;;Bryozoan;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Microbe;
;;Stromatoporoid;;;;;;;Microbe;
;;Tabulate Coral;;;;;;Microbe;Microbe;Stromatoporoid
Micrite;;Micrite;;;;;;Microbe;Microbe;Stromatoporoid
Tabulate Coral;;Mollusc;;;;;;Microbe;Microbe;Brachiopod
Micrite;;Mollusc;;;;;;Microbe;Sparite;Microbe
Micrite;;Mollusc;;;;;;Microbe;Microbe;Sparite
Micrite;;Mollusc;;;;;;Microbe;Microbe;Microbe
Micrite;;Crinoid;;;;;;Microbe;Microbe;Stromatoporoid
?;;Crinoid;;;;Micrite;;Microbe;Bryozoan;Stromatoporoid
Sparite;;Micrite;;;;Micrite;;Microbe;Microbe;Stromatoporoid
Micrite;;Micrite;;;;Sparite;;Allonema;Microbe;Stromatoporoid
Mollusc;;Sparite;;;;Microbe;;Allonema;Microbe;Stromatoporoid
Sparite;;Sparite;;;;Brachiopod;;Microbe;Microbe;Stromatoporoid
Bryozoan;;Sparite;;;;Bryozoan;;Microbe;Sparite;Stromatoporoid
Sparite;;Sparite;;;;Bryozoan;;Microbe;Microbe;Rothpletzella
Micrite;;Sparite;;;;Microbe;;Microbe;Sparite;Bryozoan
Sparite;;Sparite;;;;Bryozoan;;Microbe;Microbe;Rothpletzella
Sparite;;Micrite;Tabulate Coral;;;Microbe;;Microbe;Bryozoan;
Micrite;;Crinoid;Bryozoan;;;Bryozoan;;Microbe;Bryozoan;
Micrite;;Sparite;Tabulate Coral;;;Microbe;;Microbe;Bryozoan;
Micrite;;Sparite;Crinoid;;;Tabulate Coral;;Microbe;Bryozoan;
;;Tabulate Coral;Crinoid;;;Micrite;;Microbe;Microbe;
;;Tabulate Coral;Brachiopod;;;;;Sparite;Microbe;
;;Sparite;Micrite;;;;;Microbe;Microbe;
;;Tabulate Coral;Micrite;;;;;Microbe;Microbe;
;;;Tabulate Coral;;;;;Microbe;Microbe;
;;;Sparite;;;;;Sparite;Sparite;
;;;Sparite;;;;;Microbe;Bryozoan;
;;;Sparite;;;;;;Microbe;
;;;Echinoderm;;;;;;Microbe;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Sparite;;;;;;;Microbe;
;;Pyrite;;;;;;;Microbe;Stromatoporoid
Micrite;;Mollusc;;;;;;Microbe;Microbe;Brachiopod
Tabulate Coral;;Mollusc;;;;;;Microbe;Microbe;Microbe
Tabulate Coral;;Mollusc;;;;;;Bryozoan;Bryozoan;
Micrite;;Sparite;;;;;;Microbe;Bryozoan;
Sparite;;?;;;;;;Microbe;Bryozoan;
Echinoderm;;Crinoid;;;;;;Microbe;Microbe;
Sparite;;Crinoid;;;;;;Microbe;Microbe;
Micrite;;Sparite;;;;Microbe;;Microbe;Microbe;Rothpletzella
Sparite;;Trilobite;;;;Brachiopod;;Allonema;Microbe;Rothpletzella
Micrite;;Sparite;;;;Microbe;;Microbe;Bryozoan;
Sparite;;Sparite;;;;Microbe;;Allonema;Microbe;
Bryozoan;;Micrite;;;;Microbe;;Allonema;Microbe;
Bryozoan;;Sparite;;;;Microbe;;Microbe;Bryozoan;
Micrite;;Sparite;;;;Microbe;;Microbe;Bryozoan;
Sparite;;Sparite;;;;Microbe;;Microbe;Bryozoan;
Micrite;;Tabulate Coral;;;;Bryozoan;;Microbe;Bryozoan;
Micrite;;Tabulate Coral;;;;Micrite;;Microbe;Bryozoan;
;;Tabulate Coral;?;;;Micrite;;Microbe;Microbe;
;;Tabulate Coral;Bryozoan;;;Bryozoan;;Microbe;Sparite;
;;Micrite;Sparite;;;Micrite;;Microbe;Bryozoan;
;;Mollusc;Micrite;;;;;Sparite;Microbe;
;;Mollusc;?;;;;;Microbe;Microbe;
;;Tabulate Coral;Sparite;;;;;Microbe;Microbe;
;;;?;;;;;Siliceous Sponge;Microbe;
;;;Bryozoan;;;;;Siliceous Sponge;Microbe;
;;;Sparite;;;;;Microbe;Bryozoan;
;;;Micrite;;;;;;Microbe;
;;;Sparite;;;;;;Microbe;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Tabulate Coral;;Micrite;;;;;;;Microbe;
Tabulate Coral;;Micrite;;;;;;;Microbe;
Tabulate Coral;;Micrite;;;;;;Microbe;Microbe;
Tabulate Coral;;;;;;;;Bryozoan;Microbe;
Crinoid;;Ostracod;;;;;;Microbe;Bryozoan;
Echinoderm;;Micrite;;;;;;Microbe;Microbe;
Micrite;;Micrite;;;;;;Microbe;Crinoid;
Micrite;;Sparite;;;;;;Bryozoan;Bryozoan;
Micrite;;Tabulate Coral;;;;;;Microbe;Microbe;
Trilobite;;Ostracod;;;;;;Microbe;Microbe;
Ostracod;;Micrite;;;;Microbe;;Microbe;Microbe;
Crinoid;;Echinoderm;;;;Microbe;;Microbe;Microbe;
Bryozoan;;Pyrite;;;;Microbe;;Microbe;Microbe;
Bryozoan;;?;;;;Microbe;;Microbe;Microbe;
Micrite;;Micrite;;;;Microbe;;Microbe;Microbe;
Micrite;;Micrite;;;;Microbe;;Microbe;Microbe;
Micrite;;Echinoderm;;;;Brachiopod;;Microbe;Microbe;
Micrite;;Crinoid;;;;Micrite;;Microbe;Microbe;
;;Sparite;;;;Micrite;;Microbe;Microbe;
;;Sparite;;;;Crinoid;;Microbe;Microbe;
;;Trilobite;Echinoderm;;;Crinoid;;Microbe;Microbe;
;;Mollusc;Micrite;;;Micrite;;Microbe;Microbe;
;;Sparite;Tabulate Coral;;;Micrite;;Sparite;Bryozoan;
;;Micrite;Micrite;;;;;Microbe;Bryozoan;
;;Micrite;Tabulate Coral;;;;;Bryozoan;Microbe;
;;;Sparite;;;;;Siliceous Sponge;Bryozoan;
;;;?;;;;;Siliceous Sponge;Allonema;
;;;Sparite;;;;;Siliceous Sponge;Microbe;
;;;Micrite;;;;;;Microbe;
;;;Brachiopod;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Tabulate Coral;;;;;;;;;;
Tabulate Coral;;;;;;;;;Microbe;
Tabulate Coral;;;;;;;;;Bryozoan;
Tabulate Coral;;;;;;;;Microbe;Bryozoan;
Tabulate Coral;;;;;;;;Microbe;Microbe;
Tabulate Coral;;;;;;;;Microbe;Microbe;
Tabulate Coral;;;;;;;;Crinoid;Microbe;
Micrite;;Micrite;;;;;;Microbe;Microbe;
Micrite;;Micrite;;;;;;Bryozoan;Microbe;
Sparite;;Brachiopod;;;;;;Microbe;Microbe;
Bryozoan;;Micrite;;;;;;Bryozoan;Microbe;
Bryozoan;;Micrite;;;;;;Microbe;Microbe;
Sparite;;Micrite;;;;Microbe;;Microbe;Microbe;
Sparite;;Micrite;;;;Microbe;;Microbe;Microbe;
Sparite;;Bryozoan;;;;Crinoid;;Allonema;Microbe;
Micrite;;Micrite;;;;Microbe;;Microbe;Microbe;
Sparite;;?;;;;Brachiopod;;Allonema;Microbe;
?;;Crinoid;;;;?;;Microbe;Microbe;
;;Crinoid;;;;?;;Microbe;Microbe;
;;Micrite;;;;?;;Microbe;Microbe;
;;Crinoid;;;;Micrite;;Microbe;Microbe;
;;Mollusc;Sparite;;;Micrite;;Microbe;Microbe;
;;Sparite;;;;Brachiopod;;Microbe;Microbe;
;;Micrite;Sparite;;;Micrite;;Microbe;Microbe;
;;Brachiopod;Sparite;;;;;Sparite;Microbe;
;;Sparite;Brachiopod;;;;;Bryozoan;Microbe;
;;;Bryozoan;;;;;Siliceous Sponge;Microbe;
;;;Bryozoan;;;;;Siliceous Sponge;Microbe;
;;;Sparite;;;;;Siliceous Sponge;Microbe;
;;;Echinoderm;;;;;Siliceous Sponge;Microbe;
;;;Tabulate Coral;;;;;;Microbe;
;;;Echinoderm;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Tabulate Coral;;;;;;;;;;
Tabulate Coral;;;;;;;;;Microbe;
Tabulate Coral;;;;;;;;;Bryozoan;
Tabulate Coral;;;;;;;;Microbe;Microbe;
Tabulate Coral;;;;;;;;Microbe;Microbe;
Tabulate Coral;;;;;;;;Microbe;Microbe;
Tabulate Coral;;;;;;;;Microbe;Microbe;
Sparite;;;;;;;;Bryozoan;Microbe;
Micrite;;;;;;;;Bryozoan;Microbe;
Sparite;;;;;;;;Crinoid;Microbe;
Sparite;;Micrite;;;;;;Microbe;Microbe;
Sparite;;Micrite;;;;;;Microbe;Microbe;
Sparite;;Micrite;;;;;;Microbe;Microbe;
Sparite;;Micrite;;;;Microbe;;Microbe;Sparite;
Micrite;;Micrite;;;;?;;Microbe;Microbe;
Echinoderm;;Tabulate Coral;;;;Microbe;;Allonema;Microbe;
Brachiopod;;Micrite;;;;Brachiopod;;Microbe;Microbe;
;;Crinoid;;;;?;;Microbe;Microbe;
;;Micrite;;;;Micrite;;Microbe;Microbe;
;;?;;;;Bryozoan;;Microbe;Microbe;
;;Pyrite;;;;Bryozoan;;Microbe;Sparite;
