A1;A4;A7;A10;A14;A17;A20;A23;A26;A29;A32;A35;A38;A41
;;;Micrite;;;;;;;;;;
;;;Micrite;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;Micrite;;;;;;;;Micrite;Micrite;;
;;Micrite;;?;;;;;;Micrite;?;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Crinoid;Brachiopod;;Crinoid
Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Crinoid;Bryozoan;;Crinoid
Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;?;Sparite;;?
Micrite;;Micrite;;Micrite;Micrite;Echinoderm;;;;Micrite;?_Oncoid;;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Micrite;Bryozoan;;Echinoderm
Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;?;Sparite;Sparite;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Micrite;Bryozoan;Echinoderm;Micrite
Micrite;;Micrite;;Micrite;Micrite;Bryozoan;Micrite;;;Micrite;Echinoderm;Sparite;Micrite
Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;;;?;Sparite;Sparite;Micrite
Micrite;;Micrite;;Micrite;Echinoderm;Mollusc;Gastropod;;;?;Brachiopod;Micrite;Micrite
Micrite;;Micrite;;;Micrite;Micrite;Gastropod;;;Bryozoan;Sparite;Micrite;Micrite
Micrite;;;;;Micrite;Micrite;Gastropod;;;Crinoid;Sparite;Micrite;Stromatoporoid
Micrite;;;;;Micrite;Micrite;Gastropod;;;Micrite;Crinoid;Brachiopod;Microbe
Crinoid;;;;;Micrite;Micrite;Gastropod;;;Micrite;?;Bryozoan;Micrite
;;;;;Micrite;Echinoderm;Micrite;;Mollusc;Micrite;?;Sparite;Micrite
Micrite;Micrite;;;;Micrite;Micrite;Gastropod;;Micrite;?;Sparite;;Tabulate Coral
Micrite;Micrite;;Micrite;;Micrite;Micrite;Gastropod;;Micrite;?;Brachiopod;;Tabulate Coral
Micrite;Micrite;;Micrite;;Micrite;Micrite;Gastropod;;Micrite;;Micrite;;Tabulate Coral
Micrite;Micrite;;Micrite;;Micrite;Micrite;Micrite;;Sparite;;;;Micrite
?;Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;;;;Micrite
Micrite;Micrite;;?;;Micrite;Micrite;Micrite;Crinoid;Micrite;;;;Sparite
Crinoid;Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Micrite;;;;Micrite
Micrite;Micrite;;Micrite;;Micrite;Micrite;Micrite;Micrite;Bivalve;;;;Micrite
Micrite;Micrite;;Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Micrite
;Micrite;;Micrite;;Micrite;;Micrite;Micrite;?;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;;Brachiopod;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;;Micrite;Micrite;;;;Stromatoporoid
;Micrite;;Micrite;;Micrite;;;Micrite;;;;;
;Micrite;;Ostracod;;Micrite;;;Micrite;;;;;
;Micrite;;Micrite;;Micrite;;;Micrite;;;;;
;;;Micrite;;;;;Micrite;;;;;
;;;Micrite;;;;;Micrite;;;;;
;;;Micrite;;;;;;;;;;
;;;Micrite;;;;;;;;;;
;;;Micrite;;;;;;;;;;
;;;Micrite;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;Micrite;;;Micrite;;;;;Micrite;;;
Micrite;;Micrite;;Micrite;Micrite;Micrite;;;;Micrite;Micrite;;Micrite
Bivalve;;Micrite;;Micrite;Micrite;Micrite;;;;Micrite;Sparite;;Crinoid
